,Sample ID,Run ID,Release version,Sample ID,Sex,Body site
416,SRS451884,SRR920595,2.0,,,
417,SRS451884,SRR920682,2.0,,,
418,SRS451885,SRR920597,2.0,,,
419,SRS451885,SRR920684,2.0,,,
420,SRS451886,SRR920596,2.0,,,
421,SRS451886,SRR920683,2.0,,,
422,SRS451887,SRR920598,2.0,,,
423,SRS451887,SRR920685,2.0,,,
424,SRS451888,SRR920599,2.0,,,
425,SRS451888,SRR920686,2.0,,,
426,SRS451889,SRR920600,2.0,,,
427,SRS451889,SRR920687,2.0,,,
428,SRS451890,SRR920602,2.0,,,
429,SRS451890,SRR920689,2.0,,,
430,SRS451891,SRR920601,2.0,,,
431,SRS451891,SRR920688,2.0,,,
432,SRS451892,SRR920603,2.0,,,
433,SRS451892,SRR920690,2.0,,,
434,SRS451893,SRR920604,2.0,,,
435,SRS451893,SRR920691,2.0,,,
436,SRS451894,SRR920605,2.0,,,
437,SRS451894,SRR920692,2.0,,,
438,SRS451895,SRR920606,2.0,,,
439,SRS451895,SRR920693,2.0,,,
440,SRS451896,SRR920608,2.0,,,
441,SRS451896,SRR920695,2.0,,,
442,SRS451897,SRR920607,2.0,,,
443,SRS451897,SRR920694,2.0,,,
444,SRS451898,SRR920609,2.0,,,
445,SRS451898,SRR920696,2.0,,,
446,SRS451899,SRR920610,2.0,,,
447,SRS451899,SRR920697,2.0,,,
448,SRS451900,SRR920611,2.0,,,
449,SRS451900,SRR920698,2.0,,,
450,SRS451901,SRR920612,2.0,,,
451,SRS451901,SRR920699,2.0,,,
452,SRS451902,SRR920613,2.0,,,
453,SRS451902,SRR920700,2.0,,,
454,SRS451903,SRR920614,2.0,,,
455,SRS451903,SRR920701,2.0,,,
456,SRS451904,SRR920615,2.0,,,
457,SRS451904,SRR920702,2.0,,,
458,SRS451905,SRR920616,2.0,,,
459,SRS451905,SRR920703,2.0,,,
460,SRS451906,SRR920618,2.0,,,
461,SRS451906,SRR920705,2.0,,,
462,SRS451907,SRR920617,2.0,,,
463,SRS451907,SRR920704,2.0,,,
464,SRS451908,SRR920619,2.0,,,
465,SRS451908,SRR920706,2.0,,,
466,SRS451909,SRR920621,2.0,,,
467,SRS451909,SRR920708,2.0,,,
468,SRS451910,SRR920620,2.0,,,
469,SRS451910,SRR920707,2.0,,,
470,SRS451911,SRR920622,2.0,,,
471,SRS451911,SRR920709,2.0,,,
472,SRS451912,SRR920623,2.0,,,
473,SRS451912,SRR920710,2.0,,,
474,SRS451913,SRR920624,2.0,,,
475,SRS451913,SRR920711,2.0,,,
476,SRS451914,SRR920626,2.0,,,
477,SRS451914,SRR920713,2.0,,,
478,SRS451915,SRR920625,2.0,,,
479,SRS451915,SRR920712,2.0,,,
480,SRS451916,SRR920627,2.0,,,
481,SRS451916,SRR920714,2.0,,,
482,SRS451917,SRR920628,2.0,,,
483,SRS451917,SRR920715,2.0,,,
484,SRS451918,SRR920629,2.0,,,
485,SRS451918,SRR920716,2.0,,,
486,SRS451919,SRR920631,2.0,,,
487,SRS451919,SRR920718,2.0,,,
488,SRS451920,SRR920630,2.0,,,
489,SRS451920,SRR920717,2.0,,,
490,SRS451921,SRR920632,2.0,,,
491,SRS451921,SRR920719,2.0,,,
492,SRS451922,SRR920634,2.0,,,
493,SRS451922,SRR920721,2.0,,,
